[5282239546/uodbd, 6283596234/ybbvk, 7892156229/bvnlc, 8138274075/cmdkc, 4478641240/napyt, 9686532590/ajgug, 3268844961/xuqty] original
[4478641240/napyt, 9686532590/ajgug, 3268844961/xuqty, 6283596234/ybbvk, 8138274075/cmdkc, 5282239546/uodbd, 7892156229/bvnlc] d=10
[7892156229/bvnlc, 6283596234/ybbvk, 4478641240/napyt, 5282239546/uodbd, 3268844961/xuqty, 8138274075/cmdkc, 9686532590/ajgug] d=9
[8138274075/cmdkc, 7892156229/bvnlc, 6283596234/ybbvk, 4478641240/napyt, 5282239546/uodbd, 9686532590/ajgug, 3268844961/xuqty] d=8
[4478641240/napyt, 9686532590/ajgug, 8138274075/cmdkc, 3268844961/xuqty, 7892156229/bvnlc, 6283596234/ybbvk, 5282239546/uodbd] d=7
[9686532590/ajgug, 5282239546/uodbd, 4478641240/napyt, 3268844961/xuqty, 7892156229/bvnlc, 8138274075/cmdkc, 6283596234/ybbvk] d=6
[7892156229/bvnlc, 5282239546/uodbd, 8138274075/cmdkc, 9686532590/ajgug, 6283596234/ybbvk, 4478641240/napyt, 3268844961/xuqty] d=5
[7892156229/bvnlc, 5282239546/uodbd, 6283596234/ybbvk, 9686532590/ajgug, 8138274075/cmdkc, 4478641240/napyt, 3268844961/xuqty] d=4
[8138274075/cmdkc, 3268844961/xuqty, 4478641240/napyt, 5282239546/uodbd, 6283596234/ybbvk, 9686532590/ajgug, 7892156229/bvnlc] d=3
[8138274075/cmdkc, 3268844961/xuqty, 5282239546/uodbd, 6283596234/ybbvk, 4478641240/napyt, 9686532590/ajgug, 7892156229/bvnlc] d=2
[3268844961/xuqty, 4478641240/napyt, 5282239546/uodbd, 6283596234/ybbvk, 7892156229/bvnlc, 8138274075/cmdkc, 9686532590/ajgug] d=1
